Game_name,CPU_intel,CPU_amd,CPU_speed,RAM,VIDEO_CARD_NVIDIA,VIDEO_CARD_NVIDIA_2,VIDEO_CARD_AMD,FREE_DISK_SPACE,DEDICATED_VIDEO_RAM
GTA 5,Intel Core 2 Quad CPU Q6600 @ 2.40GHz (4 CPUs) ,AMD Phenom 9850 Quad-Core Processor (4 CPUs) @ 2.5GHz,,4GB,Nvidia 9800 GT 1GB,," AMD HD 4870 1GB (DX 10, 10.1, 11)",72GB,1GB
레드 데드 리뎀션 2,Intel Core i5-2500K,AMD FX-6300,,8GB,Nvidia Geforce GTX 770 2GB,,AMD Radeon R9 280 3GB,150GB,2GB
콜 오브 듀티: 모던 워페어,Intel Core i3-4340,AMD FX-6300,,8GB,Nvidia Geforce GTX 670,Nvidia Geforce GTX 1650,Amd Radeon HD 7950 3GB,175GB,2GB
포트나이트,Intel i3-3225,,,4GB,Intel HD 4000,Intel Iris Pro 5200,,8GB,
리그오브레전드,3.0GHz,,,2GB,Shader version 2.0 capable video card,,,8GB,
카운터스트라이크: 글로벌 오펜시브 ,Intel Core Duo E6600,AMD Phenom X3 8750,,2GB,Shader version 3.0 capable video card 256MB,,,15GB,256MB
더 위쳐 3: Wild Hunt,Intel Core i5-2500K,AMD Phenom 2 X4 940,,6GB,Nvidia Geforce GTX660,,AMD Radeon HD 7870,35GB,2GB
배틀그라운드,Intel Core i5-4430,AMD FX-6300,,8GB,Nvidia Geforce GTX 960 2GB,,AMD Radeon R7 370 2GB,30GB,2GB
드래곤볼Z 카카로트,Intel Core i5-2400,AMD Phenom 2 X6 1100T,,4GB,Nvidia Geforce GTX 750 Ti,,Amd Radeon HD 7950 3GB,36GB,2GB
마인크래프트,Intel Core i3-3210 3.2GHz,AMD A8-7600 APU 3.1 GHz,,2GB,Intel HD 4000,,AMD Radeon R5,1GB,
배틀그라운드 라이트,Intel Core i3 2.4GHz,,,4GB,Intel HD 4000,,,4GB,
에이펙스 레전드,Intel Core i3-6300 3.8GHz,AMD FX-4350 4.2GHz,,6GB,Nvidia Geforce GT 640,,AMD Radeon HD 7730,22GB,1GB
스타워즈 제다이: 오더의 몰락,Intel Core i3-3220,AMD FX-6100,,8GB,Nvidia Geforce GTX 650,,AMD Radeon HD 7750,55GB,1GB
더 심즈 4,Intel Core 2 Duo E4300,AMD Athlon 64 X2 4000 2.0GHz,,2GB,Nvidia Geforce 6600,Intel GMA X4500,ATI Radeon X1300,10GB,128MB
피파 20,Intel Core i3-2100,AMD Phenom 2 X4 965,,8GB,Nvidia Geforce GTX 660,,AMD Radeon HD 7850,50GB,1GB
포트나이트: 배틀로얄,Intel Core i3 2.4GHz,,,4GB,Intel HD 4000,,,,
레인보우 식스: 시즈,Intel Core i3 560 3.3GHz,AMD Phenom 2 X4 945 3.0GHz,,6GB,Nvidia Geforce GTX 460,,AMD Radeon HD5770,30GB,1GB
배틀필드 1,Intel Core i5-6600K,AMD FX-6350,,8GB,Nvidia Geforce GTX 660,,AMD Radeon HD 7850,50GB,2GB
배틀필드 5,Intel Core i5-6600K,AMD FX-8350,,8GB,Nvidia Geforce GTX 660,,AMD Radeon HD 7850,50GB,2GB
엘더스크롤 5: 스카이림,2.0 GHz,,,2Gb,Nvidia Geforce 7600 GT,,ATI Radeon X 1800,6GB,512MB
어쌔신 크리드 오디세이,Intel Core i5-2400,AMD FX 6300,,8GB,Nividia Geforce GTX 660,,AMD Radeon R9 285,46GB,2GB
오버워치,Intel Core i3,AMD Phenom X3 8650,,4GB,Nvidia Geforce GTX 460,Intel HD Graphics 4400,ATI Radeon HD 4850,30GB,768MB
몬스터헌터 월드,Intel Core i5-4460,AMD FX-6300,,8GB,Nvidia Geforce GTX 760,,AMD Radeon R7 260x,20GB,2GB
파 크라이 5,Intel Core i5-2400,AMD FX-6300,,8GB,Nvidia Geforce GTX 670,,AMD R9 270,24GB,2GB
니드포스피드 히트,Intel Core i5-3570,AMD FX-6350,,8GB,Nvidia Geforce GTX 760,,AMD Radeon HD 7970,50GB,2GB
메이플스토리,Intel Core Duo 2.4GHz,AMD Athlon 64 X2 2.4GHz,,4GB,Nvidia Geforce 8600 GT,,ATI Radeon HD 3450,20GB,256MB
피파온라인 4,Intel Core i3-2100,AMD Phenom 7950,,4GB,Nvidia Geforce GT 730,,ATI Radeon HD 7570,18GB,1GB
카트라이더,2.0GHz,,,1GB,,,,1GB,
로스트아크,Intel Core i3,AMD Ryzen 3,,4GB,Nvidia Geforce GTX 460,,,50GB,
던전앤파이터,Intel Core 2 Duo E7500,,,2GB,,,,18GB,
서든어택,Intel Core 2 Duo E6300,,,2GB,Nividia Geforce 7600 GT,,,20GB,
