Game_name,CPU_intel,CPU_amd,CPU_speed,RAM,VIDEO_CARD_NVIDIA,VIDEO_CARD_NVIDIA_2,VIDEO_CARD_AMD,FREE_DISK_SPACE,DEDICATED_VIDEO_RAM_NVIDIA,DEDICATED_VIDEO_RAM_AMD
Grand_Theft_Auto_5,Intel Core i5-3470 @ 3.2GHz (4 CPUs),AMD X8 FX-8350 @ 4GHz (8 CPUs),,8GB,Nvidia GTX 660 2GB,,AMD HD 7870 2GB,72GB,2GB,
Red_Dead_Redepmtion_2,Intel Core i7-4770K,AMD Ryzen 5 1500X,,12GB,Nvidia Geforce GTX 1060 6GB,,AMD Radeon RX 480 4GB,150GB,3GB,
Call_Of_Duty: Modern_Warfare,Intel Core i5-2500K 3.3GHz,AMD Ryzen R5 1600X,,12GB,Nvidia Geforce GTX 970,Nvdia Geforce GTX 1660,AMD Radeon R9 390 8GB,175GB,4GB,
Fortnite,Intel Core i5-7300U,,,8GB,Nvidia Geforce GTX 660 2GB,,AMD Radeon HD 7870,,2GB,
League_Of_Legends,3hz,,,4GB,Nvidia Geforce 8800,,AMD Radeon HD 5670,12GB,512MB,
Counter_Strike: Global_Offensive,,,,,,,,,,
The_Witcher_3: Wild Hunt,Intel Core i7-3770,AMD FX-8350,,8GB,Nvidia Gefore GTX 770,,AMD Radeon R9 290,35GB,2GB,
Player_Unknown's_Battlegrounds,Intel Core i5-6600K,AMD Ryzen 5 1600,,16GB,Nvidia Geforce GTX 1060 3GB,,AMD Radeon RX 580 4GB,30GB,3GB,
Dragon_Ball_Z_Kakarot,Interl Core i5-3470,AMD Ryzen 3 1200,,8GB,Nvidia Geforce GTX 960,,AMD Radeon R9 280X,40GB,2GB,
Minecraft,Intel Core i5-4690 3.5GHz,AMD A10-7800 APU 3.5GHz,,4GB,Nvidia Geforce 700,,AMD Radeon RX 200,4GB,256MB,
Player_Unknown's_Battlegrounds_Lite,Intel Core i5 2.8GHz,,,8GB,Nvidia Geforce GTX 660,,AMD Radeon HD 7870,4GB,2GB,
Apex_Legends,Intel Core i5-3570K,AMD Ryzen 5 ,,8GB,Nvidia Geforce GTX 970,,AMD Radeon R9 290,22GB,8GB,
Star_Wars_Jedi: Fallen_Order,Intel Core i7-6700K,AMD Ryzen 7 1700,,16GB,Nvidia Geforce GTX 1070,,AMD Radeon RX Vega 56,55GB,8GB,
The_Sims_4,Intel Core i5-750,AMD Athlon X4,,4GB,Nvidia Geforce GTX 650,,,10GB,1GB,
FIFA_20,Intel Core i5-3550,AMD FX-8150,,8GB,Nvidia Geforce GTX 670,,AMD Radeon R9 270X,50GB,2GB,
Fortnite: Battle_Royale,Intel Core i5 2.8GHz,,,8GB,Nvidia Geforce GTX 660 2GB,,AMD Radeon HD 7870,,2GB,
Tom_Clancy's_Rainbow_Six: Siege,Intel Core i5-2500K 3.3GHz,AMD FX-8120 2.6GHz,,8GB,Nvidia Geforce GTX 670,,AMD Radeon HD 7970,47GB,2GB,
Battlefield_1,Intel Core i7-4790,AMD FX-8350,,16GB,Nvidia Geforce GTX 1060 3GB,,AMD Radeon RX 480 4GB,50GB,4GB,
Battlefield_5,Intel Core i7-4790,AMD Ryzen 3 1300X,,12GB,Nvidia Geforece GTX 1060 6GB,,AMD Radeon RX 580 8GB,50GB,6GB,8GB
The_Elder_Scrolls 5: Skyrim,2.4GHz,,,4GB,Nvidia Geforce GTX 260,,ATI Radeon HD 4890,6GB,1GB,
Assasin's_Creed_Odyssey,Intel Core i7-3770,AMD FX-8350,,8GB,Nvidia Geforce GTX 970,,AMD Radeon R9 290,46GB,4GB,
Overwatch,Intel Core i5,AMD Phenom 2 X3,,6GB,Nvidia Geforce GTX 660,,ATI Radeon HD 7950,30GB,2GB,
Monster_Hunter: World,Intel Core i7-3770,AMD Ryzen 5 1500X,,8GB,Nvidia Geforce GTX 1060 3GB,,AMD Radeon RX 570X,20GB,3GB,
Far_Cry_5,Intel Core i7-4770,AMD Ryzen 5 1600,,8GB,Nvidia Geforce GTX 970,,AMD R9 290X,24GB,4GB,
Need_For_Speed_Heat,Intel Core i7-4790,AMD Ryzen 3 1300X,,16GB,Nvidia Geforce GTX 1060 3GB,,AMD Radeon RX 480 4GB,50GB,3GB,
Maplestory,Intel Core Duo 3.0GHz,AMD Athlon 64 X2 3.0GHz,,4GB,Nvidia Geforce 9600 GT,,ATI Radeon HD 3870,20GB,512MB,
FIFA_Online_4,Intel Core i5-2550K,AMD FX-6350,,8GB,Nvidia Geforce GTX 460,,AMD Radeon HD 6870,18GB,3GB,
Kartrider,3.0GHz,,,2GB,,,,2GB,,
Lost_Ark,Intel Core i5,AMD Ryzen 5,,8GB,Nvidia Geforce GTX 660,Nvidia Geforce GTX 1050,,50GB,,
Dungeon_And_Fighter,Intel Core 2 Duo E7500,,,4GB,,,,18GB,,
Sudden_Attack,Intel Core 2 Duo E8400,,,4GB,Nidia Geforce 9600 GT,,,20GB,,
